case_id,symptom,topology_note,show_output,expected_fault,osi_layer,concept_tag,severity
C001,"PC1 gets IP but cannot reach server in VLAN30, gateway ping works","R1 router-on-a-stick, SW1 trunk to R1, VLAN10=PC1, VLAN30=Server","R1# show ip route|10.0.10.0/24 is directly connected, Gi0/0.10|10.0.30.0/24 is directly connected, Gi0/0.30|R1# show access-lists|Extended IP access list BLOCK_SALES|10 deny ip 10.0.10.0 0.0.0.255 10.0.30.0 0.0.0.255|20 permit ip any any|PC1> ipconfig|IP: 10.0.10.10 Mask: 255.255.255.0 GW: 10.0.10.1",ACL blocking inter-VLAN traffic,Layer 3/4,ACL,Medium
C002,Guest Wi-Fi laptop can reach internal file server,"WLC1 controls Guest-SSID and Corp-SSID, AP1 broadcasts both",WLC1# show wlan summary|WLAN Profile Name: Guest-SSID  Interface: VLAN10 (Corp)|WLAN Profile Name: Corp-SSID  Interface: VLAN10 (Corp)|WLC1# show vlan brief|VLAN10  Corp  active,Guest SSID mapped to internal Corp VLAN instead of isolated guest VLAN,Layer 2,Wireless,High
C003,"PC2 cannot get an IP address, shows APIPA 169.254.x.x","SW1 access port Fa0/2 to PC2, DHCP server on VLAN20 at R1",R1# show ip dhcp pool VLAN20_POOL|Pool VLAN20_POOL|  Total addresses: 254|  Leased addresses: 254|  Excluded addresses: 0|SW1# show interfaces fa0/2 switchport|Access Mode VLAN: 20,DHCP pool exhausted for VLAN20,Layer 3,DHCP,High
C004,"PC3 gets correct IP and gateway but cannot browse by hostname, IP works fine","PC3 on VLAN40, DNS server configured at R1","PC3> ipconfig /all|IP: 10.0.40.15 Mask: 255.255.255.0 GW: 10.0.40.1 DNS: 10.0.99.9|PC3> nslookup server.local|DNS request timed out, no response from server 10.0.99.9|R1# show ip route|10.0.99.0/24 is not directly connected, no route",Missing route to DNS server subnet,Layer 3,DNS,Medium
C005,"Two PCs on same VLAN intermittently lose connectivity, duplicate IP warning on PC5","SW2 access ports Fa0/5 and Fa0/6, VLAN15 static addressing",PC5> ipconfig|IP: 10.0.15.20 Mask: 255.255.255.0 GW: 10.0.15.1|PC6> ipconfig|IP: 10.0.15.20 Mask: 255.255.255.0 GW: 10.0.15.1|SW2# show ip dhcp conflict|No conflicts (static addressing in use),Duplicate static IP assigned to two hosts,Layer 3,DHCP,Medium
C006,Router-to-router link up/up but OSPF neighbors never form,"R1 Gi0/1 to R2 Gi0/1, both configured for OSPF area 0","R1# show ip ospf neighbor|(no output, no neighbors listed)|R1# show ip interface brief|Gi0/1  10.0.100.1  YES manual up up|R2# show ip interface brief|Gi0/1  10.0.100.2  YES manual up up|R1# show ip ospf interface gi0/1|Hello interval 10, Dead interval 40|R2# show ip ospf interface gi0/1|Hello interval 5, Dead interval 20",OSPF hello/dead timer mismatch between neighbors,Layer 3,Routing,Medium
C007,"Branch office cannot reach HQ subnet, static route configured but ping fails","R-Branch has static route to HQ, next-hop interface down",R-Branch# show ip route|S    10.0.5.0/24 [1/0] via 10.0.200.2|R-Branch# show ip interface brief|Serial0/0/0  10.0.200.1  YES manual administratively down down,WAN interface administratively down,Layer 1,Routing,High
C008,Internal PCs can ping each other but nobody can reach the internet,R1 NAT configured for internet access via ISP link,R1# show ip nat translations|(no translations present)|R1# show run | section nat|ip nat inside source list 1 interface Gi0/0 overload|interface Gi0/1|no ip nat inside|access-list 1 permit 10.0.0.0 0.255.255.255,NAT inside interface not applied on internal interface,Layer 3,NAT,High
C009,Remote users complain some internal sites resolve to wrong server after NAT setup,R1 has NAT overload plus a static NAT entry for the web server,R1# show ip nat translations|Pro Inside global      Inside local|tcp 203.0.113.5:80  10.0.10.50:80|---  203.0.113.5     10.0.10.99|R1# show run | include ip nat inside source static|ip nat inside source static 10.0.10.99 203.0.113.5,Overlapping static NAT and overload pool causing address conflict,Layer 3,NAT,Medium
C010,"PC on VLAN25 has correct IP but wrong default gateway, cannot leave subnet","PC7 on Fa0/7, VLAN25 gateway should be 10.0.25.1 on R1 subinterface",PC7> ipconfig|IP: 10.0.25.50 Mask: 255.255.255.0 GW: 10.0.24.1|R1# show ip interface brief|Gi0/0.25  10.0.25.1  YES manual up up,Default gateway misconfigured to wrong subnet on host,Layer 3,Gateway,Medium
C011,"New employee PC plugged into SW3 port cannot reach anything, link light is on",SW3 Fa0/12 assigned to VLAN99 which does not exist on the switch,SW3# show vlan brief|VLAN10  DATA  active  Fa0/1-11|VLAN99 not listed|SW3# show interfaces fa0/12 switchport|Access Mode VLAN: 99 (Inactive),Port assigned to a VLAN that was never created,Layer 2,VLAN,Medium
C012,Trunk between SW1 and SW2 passes VLAN10 traffic but not VLAN20,"SW1 Gi0/1 trunk to SW2 Gi0/1, both VLANs should be allowed","SW1# show interfaces trunk|Port  Gi0/1  Vlans allowed on trunk: 10|SW2# show interfaces trunk|Port  Gi0/1  Vlans allowed on trunk: 10,20",VLAN20 not permitted in trunk allowed-VLAN list on SW1,Layer 2,VLAN,Medium
C013,"PC-1 gets IP but cannot reach server in VLAN 298, gateway ping works","R2 router-on-a-stick, SW2 trunk to R2, VLAN 98=PC-1, VLAN 298=Server","R2# show ip route|10.-2.10.0/24 is directly connected, Gi0/1.10|10.-2.30.0/24 is directly connected, Gi0/1.30|R2# show access-lists|Extended IP access list BLOCK_SALES|10 deny ip 10.-2.10.0 0.0.0.255 10.-2.30.0 0.0.0.255|20 permit ip any any|PC-1> ipconfig|IP: 10.-2.10.10 Mask: 255.255.255.0 GW: 10.-2.10.1",ACL blocking inter-VLAN traffic,Layer 3/4,ACL,Medium
C014,Guest Wi-Fi laptop can reach internal file server,"WLC1 controls Guest-SSID and Corp-SSID, AP1 broadcasts both",WLC1# show wlan summary|WLAN Profile Name: Guest-SSID  Interface: VLAN10 (Corp)|WLAN Profile Name: Corp-SSID  Interface: VLAN10 (Corp)|WLC1# show vlan brief|VLAN10  Corp  active,Guest SSID mapped to internal Corp VLAN instead of isolated guest VLAN,Layer 2,Wireless,High
C015,"PC2 cannot get an IP address, shows APIPA 169.254.x.x","SW1 access port Fa0/2 to PC2, DHCP server on VLAN20 at R1",R1# show ip dhcp pool VLAN20_POOL|Pool VLAN20_POOL|  Total addresses: 254|  Leased addresses: 254|  Excluded addresses: 0|SW1# show interfaces fa0/2 switchport|Access Mode VLAN: 20,DHCP pool exhausted for VLAN20,Layer 3,DHCP,High
C016,"PC3 gets correct IP and gateway but cannot browse by hostname, IP works fine","PC3 on VLAN40, DNS server configured at R2","PC3> ipconfig /all|IP: 10.0.40.15 Mask: 255.255.255.0 GW: 10.0.40.1 DNS: 10.0.99.9|PC3> nslookup server.local|DNS request timed out, no response from server 10.0.99.9|R2# show ip route|10.0.99.0/24 is not directly connected, no route",Missing route to DNS server subnet,Layer 3,DNS,Medium
C017,"Two PCs on same VLAN intermittently lose connectivity, duplicate IP warning on PC5","SW2 access ports Fa0/5 and Fa0/6, VLAN15 static addressing",PC5> ipconfig|IP: 10.0.15.20 Mask: 255.255.255.0 GW: 10.0.15.1|PC6> ipconfig|IP: 10.0.15.20 Mask: 255.255.255.0 GW: 10.0.15.1|SW2# show ip dhcp conflict|No conflicts (static addressing in use),Duplicate static IP assigned to two hosts,Layer 3,DHCP,Medium
C018,Router-to-router link up/up but OSPF neighbors never form,"R1 Gi0/1 to R2 Gi0/1, both configured for OSPF area 0","R1# show ip ospf neighbor|(no output, no neighbors listed)|R1# show ip interface brief|Gi0/1  10.0.100.1  YES manual up up|R2# show ip interface brief|Gi0/1  10.0.100.2  YES manual up up|R1# show ip ospf interface gi0/1|Hello interval 10, Dead interval 40|R2# show ip ospf interface gi0/1|Hello interval 5, Dead interval 20",OSPF hello/dead timer mismatch between neighbors,Layer 3,Routing,Medium
C019,"Branch office cannot reach HQ subnet, static route configured but ping fails","R-Branch has static route to HQ, next-hop interface down",R-Branch# show ip route|S    10.0.5.0/24 [1/0] via 10.0.200.2|R-Branch# show ip interface brief|Serial0/0/0  10.0.200.1  YES manual administratively down down,WAN interface administratively down,Layer 1,Routing,High
