case_id,root_cause,osi_layer,confidence,evidence,next_command,fix_steps,expected_fault,agrees,concept_tag,review_status,reviewer_note,corrected_root_cause
C001,Access Control List (ACL BLOCK_SALES) on router interface is dropping inter-VLAN IP traffic,Layer 3/4,high,show access-lists output displays '10 deny ip 10.0.10.0 0.0.0.255 10.0.30.0 0.0.0.255',show ip interface Gi0/0.30,Remove or update deny rule 10 in ACL BLOCK_SALES; Apply permit rule for inter-VLAN communications,ACL blocking inter-VLAN traffic,True,ACL,Accepted,Verified ACL rule 10 blocks traffic to server VLAN30,
C002,Guest Wi-Fi SSID is improperly mapped to corporate VLAN 10 instead of isolated guest VLAN,Layer 2,high,WLC1 show wlan summary shows 'Guest-SSID Interface: VLAN10 (Corp)',show wlan summary,Change Guest-SSID interface mapping on WLC1 to isolated Guest VLAN; Verify client isolation settings,Guest SSID mapped to internal Corp VLAN instead of isolated guest VLAN,True,Wireless,Accepted,Verified WLC mapping places guest SSID in corporate VLAN,
C003,DHCP address pool for VLAN20 is completely exhausted (254 of 254 addresses leased),Layer 3,high,R1 show ip dhcp pool shows 'Total addresses: 254 | Leased addresses: 254',show ip dhcp binding,Expand DHCP pool subnet size or shorten lease duration; Clear stale DHCP bindings using 'clear ip dhcp binding *',DHCP pool exhausted for VLAN20,True,DHCP,Accepted,Verified pool exhaustion of 254 leases,
C004,Missing route in router routing table to DNS server subnet (10.0.99.0/24),Layer 3,high,"PC3 nslookup timed out and R1 show ip route confirms '10.0.99.0/24 is not directly connected, no route'",show ip route 10.0.99.0,Add static route 'ip route 10.0.99.0 255.255.255.0 <next-hop>' on R1; Verify reachability with ping 10.0.99.9,Missing route to DNS server subnet,True,DNS,Accepted,Verified missing routing entry for DNS subnet,
C005,Duplicate static IP address (10.0.15.20) assigned to multiple hosts on VLAN 15,Layer 3,high,ipconfig output on both PC5 and PC6 shows identical IP address 10.0.15.20,show mac address-table dynamic,Reconfigure PC6 with an unassigned unique static IP; Verify IP uniqueness using ping/ARP check,Duplicate static IP assigned to two hosts,True,DHCP,Accepted,Verified static IP duplicate conflict on PC5 and PC6,
C006,OSPF Hello and Dead timer interval mismatch between router neighbors on Gi0/1,Layer 3,high,R1 has Hello 10 / Dead 40 while R2 has Hello 5 / Dead 20 on interface Gi0/1,show ip ospf interface gi0/1,Configure 'ip ospf hello-interval 10' on R2 Gi0/1; Configure 'ip ospf dead-interval 40' on R2 Gi0/1,OSPF hello/dead timer mismatch between neighbors,True,Routing,Accepted,Verified OSPF timer mismatch prevents neighbor adjacency,
C007,WAN Serial interface Serial0/0/0 is administratively down,Layer 1,high,R-Branch show ip interface brief displays 'Serial0/0/0 10.0.200.1 YES manual administratively down down',show interface Serial0/0/0,Enter interface configuration mode for Serial0/0/0; Issue 'no shutdown' command to bring up physical link,WAN interface administratively down,False,Routing,Edited,Physical WAN interface is admin down (Layer 1 issue),WAN interface Serial0/0/0 administratively down
C008,NAT inside configuration missing on internal interface (Gi0/1 has 'no ip nat inside'),Layer 3,high,show run section nat shows 'interface Gi0/1 | no ip nat inside' and zero translations in table,show running-config interface Gi0/1,Apply 'ip nat inside' to internal interface Gi0/1 under interface configuration mode,NAT inside interface not applied on internal interface,True,NAT,Accepted,Verified missing ip nat inside on Gi0/1,
C009,Overlapping static NAT translation and NAT overload pool sharing the same public IP address (203.0.113.5),Layer 3,high,show ip nat translations shows duplicate inside global address 203.0.113.5 mapped to both 10.0.10.50 and 10.0.10.99,show running-config | include ip nat,Assign distinct public IP to static NAT mapping; Clear existing translations using 'clear ip nat translation *',Overlapping static NAT and overload pool causing address conflict,True,NAT,Accepted,Verified static NAT address conflict on public IP,
C010,Default gateway misconfigured on host to wrong subnet (GW 10.0.24.1 vs Host IP 10.0.25.50),Layer 3,high,"PC7 ipconfig shows IP 10.0.25.50 with GW 10.0.24.1, while R1 subinterface Gi0/0.25 is 10.0.25.1",show ip interface brief,Reconfigure PC7 default gateway to 10.0.25.1; Verify IP connectivity to gateway,Default gateway misconfigured to wrong subnet on host,True,Gateway,Accepted,Verified gateway subnet mismatch on PC7,
